region,price,year,manufacturer,model,condition,odometer,title_status,transmission,type,paint_color,state,lat,long
string,numeric,numeric,string,string,enum,numeric,enum,enum,enum,enum,enum,numeric,numeric
birmingham,6900,2010,mazda,3i,good,165255,rebuilt,automatic,sedan,grey,al,33.243013,-86.81742
huntsville / decatur,16306,2017,mazda,mazda3 4-door,,101982,clean,automatic,sedan,red,al,34.737799,-86.650889
mobile,800,2006,mazda,3,fair,1234,clean,automatic,sedan,grey,al,30.5222,-87.7457
anchorage / mat-su,7500,2011,mazda,3 i sport,excellent,42000,rebuilt,automatic,sedan,silver,ak,61.5923,-149.3959
anchorage / mat-su,5500,2010,mazda,3,good,114600,clean,automatic,sedan,red,ak,61.588262,-149.405651
anchorage / mat-su,17750,2017,mazda,3 sport,excellent,9157,clean,automatic,sedan,grey,ak,61.21778,-149.869995
anchorage / mat-su,10194,2013,mazda,mazda3,,87638,clean,other,sedan,black,ak,61.176984,-149.86941
anchorage / mat-su,18991,2018,mazda,mazda3 4-door,,21890,clean,automatic,sedan,silver,ak,61.180231,-149.869503
anchorage / mat-su,18991,2018,mazda,mazda3 4-door,,21890,clean,automatic,sedan,silver,ak,61.180231,-149.869503
anchorage / mat-su,18991,2018,mazda,mazda3 4-door,,21890,clean,automatic,sedan,silver,ak,61.180231,-149.869503
anchorage / mat-su,17750,2017,mazda,3 sport,excellent,9157,clean,automatic,sedan,grey,ak,61.21778,-149.869995
anchorage / mat-su,18991,2018,mazda,mazda3 4-door,,21890,clean,automatic,sedan,silver,ak,61.180231,-149.869503
anchorage / mat-su,5500,2008,mazda,3,,87000,rebuilt,automatic,,,ak,61.50814,-149.381618
anchorage / mat-su,18991,2018,mazda,mazda3 4-door,,21890,clean,automatic,sedan,silver,ak,61.180231,-149.869503
anchorage / mat-su,13999,2016,mazda,mazda3,,82982,clean,automatic,hatchback,blue,ak,61.180231,-149.869503
flagstaff / sedona,18590,2017,mazda,mazda3 touring 2.5,good,34723,clean,other,hatchback,blue,az,33.7865,-84.4454
mohave county,9871,2015,mazda,mazda3,,120683,,automatic,hatchback,blue,az,34.544258,-114.352806
phoenix,8499,2011,mazda,3 s grand touring,good,123000,clean,automatic,sedan,red,az,33.415663,-111.657894
phoenix,2699,2007,mazda,mazda3 i sport,,243286,clean,manual,sedan,black,az,33.414351,-111.880831
phoenix,4500,2010,mazda,3,excellent,128000,clean,automatic,sedan,silver,az,33.5623,-112.0559
phoenix,2699,2007,mazda,mazda3 i sport,,243286,clean,manual,sedan,black,az,33.414351,-111.880831
phoenix,4990,2011,mazda,3,excellent,147000,clean,automatic,,,az,33.3301,-111.8632
phoenix,5999,2012,mazda,mazda3,excellent,136000,clean,manual,sedan,grey,az,33.466092,-112.120961
phoenix,6994,2012,mazda,3 i touring,,161035,clean,automatic,,,az,33.3105,-111.8239
phoenix,15990,2013,mazda,mazda3 i touring hatchback,good,26490,clean,other,hatchback,red,az,33.5,-112.05
phoenix,18590,2014,mazda,mazda3 s grand touring,good,42371,clean,other,sedan,silver,az,33.5,-112.05
phoenix,18990,2016,mazda,mazda3 i touring hatchback,good,32642,clean,other,hatchback,,az,33.44,-111.8
phoenix,19990,2018,mazda,mazda3 touring hatchback,good,14063,clean,other,hatchback,blue,az,33.51,-112.36
phoenix,6800,2012,mazda,mazda3,good,114000,clean,automatic,sedan,black,az,33.479338,-112.507188
prescott,17433,2017,mazda,mazda3,,35564,clean,automatic,other,white,az,34.6019,-112.3264
