id,price,year,odometer
7314278078,9988,2014,121259
7313594854,5500,2010,114988
7313219085,9500,2013,125000
7311830338,9988,2014,121259
7311365259,10888,2014,121259
7307029274,11500,2012,64000
7306472445,9800,2012,76117
7304888907,19900,2018,35823
7304871378,7500,2011,51000
7314677292,4200,2009,93000
7303262763,8000,2013,89800
7314883079,12500,2015,51752
7313952753,6500,2011,197000
7313355149,8000,2012,132423
7309767524,8495,2010,125082
7316597191,7499,2011,178000
7313516095,11480,2017,65955
7313264949,3500,2009,213159
7314675549,4200,2009,93000
7309344710,6150,2013,130200
7316526243,23995,2016,36699
7316497182,26995,2020,6837
7316497157,15495,2016,52399
7314180838,6200,2011,147000
7313965673,10999,2015,45000
7313068784,15999,2018,40385
7312984863,18995,2018,24663
7311068862,20999,2019,25120
7310556713,17999,2020,8908
7310163085,15495,2016,52399
7309995014,26995,2020,6837
7308492933,15999,2018,40385
7308070800,11250,2016,72000
7307518451,14999,2016,64000
7307507933,17999,2020,8908
7307462180,17900,2018,31556
7306965177,18995,2018,24663
7306420026,19900,2019,33874
7304378150,17999,2020,8908
7303326503,20999,2019,25120
7303326079,15999,2018,40385
7302766920,26995,2020,6837
7315180823,2900,2004,217000
7315180477,2900,2005,236000
7314660160,1600,2007,268212
7311437023,2995,2005,999999
7306288184,5995,2005,116000
7306286484,13995,2017,67000
7316881380,500,2016,76000
7316854456,12950,2010,77202
7316827997,11999,2016,94000
7316827662,14499,2014,90000
7316827053,8499,2012,115000
7316826718,7999,2011,133000
7316810060,500,2017,60000
7316806383,500,2016,47000
7316795069,13995,2014,46225
7316795010,9000,2015,100000
7316790811,15950,2014,106000
7316568752,6600,2013,93822
7316518666,14995,2016,73712
7316517501,14995,2013,52743
7316513477,13500,2017,63000
7316490163,500,2017,60000
7316440838,500,2015,76000
7316399226,500,2016,47000
7316373016,7900,2015,127000
7316312679,500,2015,76000
7316311531,500,2017,60000
7316299333,2000,2005,138000
7316290082,5400,2010,148000
7316197368,10900,2016,131321
7316183354,15950,2014,106000
7316066514,10800,2013,134000
7316000390,12500,2018,7200
7315928534,6599,2009,137556
7315861087,10000,2013,83683
7315845227,9900,2012,107000
7315812948,10950,2013,99373
7315806355,3750,2005,128000
7315747583,15950,2014,106000
7315730051,1999,2001,132000
7315577668,500,2013,140000
7315576750,500,2016,47000
7315560524,34999,2019,17995
7316564347,3500,2007,193000
7310955798,21968,2018,15551
7310489701,9450,2015,123227
7307924825,24513,2020,6513
7307471718,29993,2020,18874
7316522624,17736,2018,42012
7311425820,2995,2005,999999
7303671534,10494,2015,98352
7316894725,500,2013,123000
7311583475,3000,2006,277710
7316853379,11995,2017,50000
7315907680,4400,2008,152000
7315561660,5950,2009,120000
7315508737,6900,2017,76000
7315383095,4995,2006,123800
7315381511,5995,2009,123000
7315263180,17050,2014,31700
7315167051,13999,2015,96834
7314942821,8995,2014,73000
7314437576,5995,2007,88000
7314437177,12995,2015,66000
7314239686,8995,2017,89085
7314206601,12995,2016,93000
7314203665,12999,2014,95356
7314087398,29500,2019,22500
7314031369,16999,2013,67037
7313413283,10995,2015,87000
7313003466,9995,2013,86000
7312838655,4490,2004,81423
7312583757,5950,2009,120000
7312352865,5990,2014,156200
7312286688,3400,2002,169318
7311986038,8995,2013,95000
7311708121,11999,2014,95356
7311658128,14000,2015,49500
7311487517,9999,2017,74819
7311256774,8595,2016,145048
