2023-03-10 02:29:05,216 INFO    MainThread:12456 [wandb_setup.py:_flush():76] Configure stats pid to 12456
2023-03-10 02:29:05,217 INFO    MainThread:12456 [wandb_setup.py:_flush():76] Loading settings from /home/codespace/.config/wandb/settings
2023-03-10 02:29:05,217 INFO    MainThread:12456 [wandb_setup.py:_flush():76] Loading settings from /workspaces/CS252S22/wandb/settings
2023-03-10 02:29:05,217 INFO    MainThread:12456 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-10 02:29:05,221 INFO    MainThread:12456 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-10 02:29:05,221 INFO    MainThread:12456 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-10 02:29:05,221 INFO    MainThread:12456 [wandb_init.py:_log_setup():506] Logging user logs to /workspaces/CS252S22/wandb/run-20230310_022905-637k61jr/logs/debug.log
2023-03-10 02:29:05,221 INFO    MainThread:12456 [wandb_init.py:_log_setup():507] Logging internal logs to /workspaces/CS252S22/wandb/run-20230310_022905-637k61jr/logs/debug-internal.log
2023-03-10 02:29:05,221 INFO    MainThread:12456 [wandb_init.py:_jupyter_setup():452] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f434445c220>
2023-03-10 02:29:05,222 INFO    MainThread:12456 [wandb_init.py:init():546] calling init triggers
2023-03-10 02:29:05,222 INFO    MainThread:12456 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'architecture': 'regression', 'dataset': 'hyundaikia', 'split': 20, 'features': (1, 7)}
2023-03-10 02:29:05,222 INFO    MainThread:12456 [wandb_init.py:init():602] starting backend
2023-03-10 02:29:05,222 INFO    MainThread:12456 [wandb_init.py:init():606] setting up manager
2023-03-10 02:29:05,232 INFO    MainThread:12456 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-10 02:29:05,248 INFO    MainThread:12456 [wandb_init.py:init():613] backend started and connected
2023-03-10 02:29:05,251 INFO    MainThread:12456 [wandb_run.py:_label_probe_notebook():1202] probe notebook
2023-03-10 02:29:05,255 INFO    MainThread:12456 [wandb_run.py:_label_probe_notebook():1212] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-10 02:29:05,256 INFO    MainThread:12456 [wandb_init.py:init():701] updated telemetry
2023-03-10 02:29:05,298 INFO    MainThread:12456 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-10 02:29:06,641 INFO    MainThread:12456 [wandb_run.py:_on_init():2131] communicating current version
2023-03-10 02:29:06,771 INFO    MainThread:12456 [wandb_run.py:_on_init():2140] got version response 
2023-03-10 02:29:06,771 INFO    MainThread:12456 [wandb_init.py:init():789] starting run threads in backend
2023-03-10 02:29:07,075 INFO    MainThread:12456 [wandb_run.py:_console_start():2112] atexit reg
2023-03-10 02:29:07,076 INFO    MainThread:12456 [wandb_run.py:_redirect():1967] redirect: SettingsConsole.WRAP_RAW
2023-03-10 02:29:07,076 INFO    MainThread:12456 [wandb_run.py:_redirect():2032] Wrapping output streams.
2023-03-10 02:29:07,076 INFO    MainThread:12456 [wandb_run.py:_redirect():2057] Redirects installed.
2023-03-10 02:29:07,076 INFO    MainThread:12456 [wandb_init.py:init():831] run started, returning control to user process
2023-03-10 02:29:07,080 INFO    MainThread:12456 [wandb_run.py:_finish():1852] finishing run ajstent/cars-regression/637k61jr
2023-03-10 02:29:07,081 INFO    MainThread:12456 [jupyter.py:save_history():445] not saving jupyter history
2023-03-10 02:29:07,081 INFO    MainThread:12456 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-03-10 02:29:07,081 INFO    MainThread:12456 [wandb_init.py:_jupyter_teardown():434] cleaning up jupyter logic
2023-03-10 02:29:07,081 INFO    MainThread:12456 [wandb_run.py:_atexit_cleanup():2081] got exitcode: 0
2023-03-10 02:29:07,082 INFO    MainThread:12456 [wandb_run.py:_restore():2064] restore
2023-03-10 02:29:07,082 INFO    MainThread:12456 [wandb_run.py:_restore():2070] restore done
